Name,Age,total_Income,var_1,var_2,var_3,zipcode,honesty,cat_total
"Abdalla Mukhaimer, Widad",18,18000,apple,carrots,elephant,60001,agree,0
"Anwar-Hashmi, Ali",25,25000,grapes,carrots,tiger,60073,disagree,1
"Baddoo, Bryanna",30,30000,bananas,carrots,lion,60109,disagree,2
"Bevenour, Charles",40,40000,peaches,carrots,rabbit,60111,disagree,1
"Cheshmedjieva, Nia",45,45000,bananas,carrots,shark,60155,agree,1
"Farooq, Amir",17,17000,apple,cabbage,dolphin,60133,agree,1
"Gandhi, Krish",12,12000,strawberry,cauliflower,dolphin,60159,agree,1
"Gonzalez, Ana",14,14000,cherries,broccoli,bear,60142,agree,0
"Hein, Gavin",20,20000,cherries,cauliflower,snake,60001,agree,0
"Hogg, Nathan",23,23000,strawberry,broccoli,cat,60073,disagree,5
"Hoppmann, Elena",55,55000,grapes,broccoli,dog,60109,disagree,0
"Issa, Jenna",60,60000,pear,cauliflower,rabbit,60111,agree,0
"Kaltenbach, Wallis",99,99000,peaches,carrots,squirrel,60155,agree,0
"Lewis, Emilia",20,20000,pear,cabbage,dog,60133,agree,0
"Mancini, Mica",19,19000,grapes,cabbage,dog,60159,agree,0
"Mattiello, Dominic",66,66000,bananas,cabbage,dog,60142,agree,0
"Mirza, Samir",75,75000,bananas,cauliflower,dog,60001,agree,0
"Mohammed, Sumayya",40,40000,bananas,broccoli,cat,60073,agree,7
"Moroz, Max",12,12000,bananas,broccoli,cat,60109,agree,8
"Newell, Grace",5,5000,peaches,cauliflower,cat,60111,agree,6
"Nocentini, Chiara",98,98000,cherries,carrots,elephant,60155,agree,4
"Pan, Florence",19,19000,strawberry,cabbage,monkey,60133,disagree,2
"Patel, Siya",20,20000,apple,cabbage,tiger,60159,agree,6
"Salerno, Kayla",55,55000,strawberry,cabbage,lion,60142,agree,0
"Scanlon, Patrick",30,30000,apple,cauliflower,kangaroo,60001,disagree,0
"Sethi, Rohan",35,35000,bananas,carrots,giraffe,60073,disagree,0
"Velazquez, Anayatzi",25,25000,bananas,carrots,cheetah,60109,agree,1
"Washington, Paige",25,25000,bananas,carrots,dog,60111,agree,1
"Zhu, Bolin",19,19000,bananas,carrots,dog,60155,agree,1
